college_name,course,location,fees,type,min_percentage,website
Pune BSc College 87,BSc,Pune,280790,Government,61,https://example87.edu.in
Jaipur BCA College 88,BCA,Jaipur,320690,Private,81,https://example88.edu.in
Chennai BCA College 89,BCA,Chennai,210937,Government,74,https://example89.edu.in
Bangalore BSc College 90,BSc,Bangalore,207540,Private,77,https://example90.edu.in
Lucknow BBA College 91,BBA,Lucknow,327423,Private,71,https://example91.edu.in
Jaipur BSc College 92,BSc,Jaipur,329718,Government,66,https://example92.edu.in
Bangalore B.Tech College 93,B.Tech,Bangalore,41195,Government,81,https://example93.edu.in
Kolkata B.Tech College 94,B.Tech,Kolkata,23106,Private,86,https://example94.edu.in
Kolkata BA College 95,BA,Kolkata,204883,Government,86,https://example95.edu.in
Hyderabad BCA College 96,BCA,Hyderabad,28409,Government,76,https://example96.edu.in
Lucknow BCA College 97,BCA,Lucknow,46266,Private,66,https://example97.edu.in
Jaipur BA College 98,BA,Jaipur,182488,Private,66,https://example98.edu.in
Kolkata BSc College 99,BSc,Kolkata,149412,Government,62,https://example99.edu.in
Noida BA College 100,BA,Noida,347059,Government,73,https://example100.edu.in
Bangalore BSc College 101,BSc,Bangalore,174371,Government,68,https://example101.edu.in
Hyderabad B.Tech College 102,B.Tech,Hyderabad,128925,Government,71,https://example102.edu.in
Pune BA College 103,BA,Pune,119182,Government,95,https://example103.edu.in
Pune B.Tech College 104,B.Tech,Pune,232398,Government,86,https://example104.edu.in
Pune BA College 105,BA,Pune,247703,Government,88,https://example105.edu.in
Chennai BBA College 106,BBA,Chennai,329627,Government,88,https://example106.edu.in
Mumbai BSc College 107,BSc,Mumbai,88695,Private,88,https://example107.edu.in
Jaipur BBA College 108,BBA,Jaipur,291912,Private,62,https://example108.edu.in
Hyderabad BBA College 109,BBA,Hyderabad,252927,Government,83,https://example109.edu.in
Kolkata BBA College 110,BBA,Kolkata,188067,Government,70,https://example110.edu.in
Pune B.Tech College 111,B.Tech,Pune,70013,Private,88,https://example111.edu.in
Bangalore B.Tech College 112,B.Tech,Bangalore,219843,Government,80,https://example112.edu.in
Mumbai BSc College 113,BSc,Mumbai,133280,Private,70,https://example113.edu.in
Delhi B.Tech College 114,B.Tech,Delhi,334189,Private,72,https://example114.edu.in
Pune BCA College 115,BCA,Pune,294269,Government,95,https://example115.edu.in
Noida B.Tech College 116,B.Tech,Noida,345759,Government,78,https://example116.edu.in
Mumbai BCA College 117,BCA,Mumbai,92455,Government,73,https://example117.edu.in
Hyderabad BCA College 118,BCA,Hyderabad,82448,Government,87,https://example118.edu.in
Chennai BBA College 119,BBA,Chennai,320199,Government,81,https://example119.edu.in
Mumbai BA College 120,BA,Mumbai,194061,Government,88,https://example120.edu.in
Kolkata BA College 121,BA,Kolkata,26644,Government,73,https://example121.edu.in
Lucknow BA College 122,BA,Lucknow,292042,Private,86,https://example122.edu.in
Mumbai BCA College 123,BCA,Mumbai,302048,Private,86,https://example123.edu.in
Hyderabad BSc College 124,BSc,Hyderabad,135513,Private,76,https://example124.edu.in
Jaipur BA College 125,BA,Jaipur,135814,Government,79,https://example125.edu.in
Noida BSc College 126,BSc,Noida,270437,Private,61,https://example126.edu.in
Lucknow B.Tech College 127,B.Tech,Lucknow,74416,Government,78,https://example127.edu.in
Chennai BCA College 128,BCA,Chennai,145706,Private,90,https://example128.edu.in
Chennai BA College 129,BA,Chennai,251777,Private,91,https://example129.edu.in
Hyderabad BCA College 130,BCA,Hyderabad,22294,Private,80,https://example130.edu.in
Pune BCA College 131,BCA,Pune,257092,Government,87,https://example131.edu.in
Noida BSc College 132,BSc,Noida,316256,Private,70,https://example132.edu.in
Noida BBA College 133,BBA,Noida,108741,Government,91,https://example133.edu.in
Mumbai BSc College 134,BSc,Mumbai,70856,Private,70,https://example134.edu.in
Chennai B.Tech College 135,B.Tech,Chennai,340793,Private,68,https://example135.edu.in
Hyderabad BCA College 136,BCA,Hyderabad,24588,Government,69,https://example136.edu.in
Pune BSc College 137,BSc,Pune,225400,Government,69,https://example137.edu.in
Noida BBA College 138,BBA,Noida,306866,Private,93,https://example138.edu.in
Lucknow BSc College 139,BSc,Lucknow,15033,Private,76,https://example139.edu.in
Noida B.Tech College 140,B.Tech,Noida,263128,Government,63,https://example140.edu.in
Lucknow BA College 141,BA,Lucknow,193161,Government,70,https://example141.edu.in
Jaipur BA College 142,BA,Jaipur,132430,Government,76,https://example142.edu.in
Jaipur BBA College 143,BBA,Jaipur,262171,Government,60,https://example143.edu.in
Bangalore BCA College 144,BCA,Bangalore,121307,Government,95,https://example144.edu.in
Jaipur BCA College 145,BCA,Jaipur,36914,Government,95,https://example145.edu.in
Delhi BCA College 146,BCA,Delhi,175792,Private,70,https://example146.edu.in
Lucknow BBA College 147,BBA,Lucknow,286798,Private,63,https://example147.edu.in
Jaipur BBA College 148,BBA,Jaipur,143212,Government,94,https://example148.edu.in
Mumbai BCA College 149,BCA,Mumbai,279317,Government,83,https://example149.edu.in
Kolkata BA College 150,BA,Kolkata,209876,Private,70,https://example150.edu.in
Chennai B.Tech College 151,B.Tech,Chennai,214868,Private,68,https://example151.edu.in
Lucknow BSc College 152,BSc,Lucknow,211719,Private,63,https://example152.edu.in
Kolkata B.Tech College 153,B.Tech,Kolkata,310387,Private,67,https://example153.edu.in
Mumbai BBA College 154,BBA,Mumbai,104825,Government,94,https://example154.edu.in
Hyderabad BCA College 155,BCA,Hyderabad,21454,Government,71,https://example155.edu.in
Pune B.Tech College 156,B.Tech,Pune,265692,Government,76,https://example156.edu.in
Pune BCA College 157,BCA,Pune,223538,Private,63,https://example157.edu.in
Lucknow B.Tech College 158,B.Tech,Lucknow,191918,Government,91,https://example158.edu.in
Delhi BCA College 159,BCA,Delhi,85628,Government,78,https://example159.edu.in
Kolkata B.Tech College 160,B.Tech,Kolkata,246543,Government,66,https://example160.edu.in
Mumbai BA College 161,BA,Mumbai,259342,Private,63,https://example161.edu.in
Hyderabad B.Tech College 162,B.Tech,Hyderabad,52356,Private,79,https://example162.edu.in
Hyderabad BBA College 163,BBA,Hyderabad,150462,Government,76,https://example163.edu.in
Jaipur BSc College 164,BSc,Jaipur,196941,Government,93,https://example164.edu.in
Hyderabad BA College 165,BA,Hyderabad,176266,Government,70,https://example165.edu.in
Mumbai BBA College 166,BBA,Mumbai,322706,Government,87,https://example166.edu.in
Chennai BA College 167,BA,Chennai,324451,Private,82,https://example167.edu.in
Mumbai B.Tech College 168,B.Tech,Mumbai,201354,Private,78,https://example168.edu.in
Noida B.Tech College 169,B.Tech,Noida,290903,Private,75,https://example169.edu.in
Bangalore BSc College 170,BSc,Bangalore,284114,Private,87,https://example170.edu.in
Bangalore BCA College 171,BCA,Bangalore,68130,Government,62,https://example171.edu.in
Mumbai BA College 172,BA,Mumbai,232396,Government,61,https://example172.edu.in
Jaipur BSc College 173,BSc,Jaipur,137026,Government,92,https://example173.edu.in
Pune BSc College 174,BSc,Pune,169711,Government,95,https://example174.edu.in
Bangalore BBA College 175,BBA,Bangalore,335778,Government,86,https://example175.edu.in
Pune BBA College 176,BBA,Pune,31867,Private,62,https://example176.edu.in
Noida BCA College 177,BCA,Noida,50871,Private,83,https://example177.edu.in
Bangalore BA College 178,BA,Bangalore,208387,Private,73,https://example178.edu.in
Jaipur BA College 179,BA,Jaipur,117321,Government,73,https://example179.edu.in
Chennai BA College 180,BA,Chennai,287330,Government,63,https://example180.edu.in
Chennai B.Tech College 181,B.Tech,Chennai,207857,Private,83,https://example181.edu.in
Kolkata BA College 182,BA,Kolkata,191788,Private,60,https://example182.edu.in
Chennai BCA College 183,BCA,Chennai,145674,Government,79,https://example183.edu.in
Delhi BA College 184,BA,Delhi,60769,Private,88,https://example184.edu.in
Lucknow BBA College 185,BBA,Lucknow,130907,Private,66,https://example185.edu.in
Bangalore B.Tech College 186,B.Tech,Bangalore,269154,Private,80,https://example186.edu.in
Jaipur BA College 187,BA,Jaipur,154779,Private,93,https://example187.edu.in
Lucknow BA College 188,BA,Lucknow,240511,Private,86,https://example188.edu.in
Chennai BBA College 189,BBA,Chennai,319809,Government,75,https://example189.edu.in
Mumbai BBA College 190,BBA,Mumbai,46183,Government,91,https://example190.edu.in
Pune BCA College 191,BCA,Pune,174879,Private,82,https://example191.edu.in
Jaipur BA College 192,BA,Jaipur,140517,Private,75,https://example192.edu.in
Noida B.Tech College 193,B.Tech,Noida,197281,Government,74,https://example193.edu.in
Delhi BSc College 194,BSc,Delhi,292078,Government,84,https://example194.edu.in
Delhi BCA College 195,BCA,Delhi,34419,Private,89,https://example195.edu.in
Lucknow B.Tech College 196,B.Tech,Lucknow,126662,Private,75,https://example196.edu.in
Mumbai BA College 197,BA,Mumbai,61344,Government,72,https://example197.edu.in
Bangalore BBA College 198,BBA,Bangalore,161847,Private,87,https://example198.edu.in
Pune B.Tech College 199,B.Tech,Pune,180235,Government,93,https://example199.edu.in
Delhi BBA College 200,BBA,Delhi,52499,Government,72,https://example200.edu.in
Delhi BA College 201,BA,Delhi,261475,Private,94,https://example201.edu.in
Lucknow BSc College 202,BSc,Lucknow,126293,Private,82,https://example202.edu.in
Pune BBA College 203,BBA,Pune,273482,Government,95,https://example203.edu.in
Lucknow BSc College 204,BSc,Lucknow,244445,Private,89,https://example204.edu.in
Kolkata BSc College 205,BSc,Kolkata,161099,Government,60,https://example205.edu.in
Pune BBA College 206,BBA,Pune,298753,Private,87,https://example206.edu.in
Mumbai BBA College 207,BBA,Mumbai,68774,Government,75,https://example207.edu.in
Chennai B.Tech College 208,B.Tech,Chennai,260999,Government,80,https://example208.edu.in
Noida BSc College 209,BSc,Noida,140739,Government,83,https://example209.edu.in
Pune BSc College 210,BSc,Pune,333072,Private,65,https://example210.edu.in
Mumbai BSc College 211,BSc,Mumbai,97494,Government,94,https://example211.edu.in
Mumbai BA College 212,BA,Mumbai,84299,Government,71,https://example212.edu.in
Lucknow BCA College 213,BCA,Lucknow,35170,Private,75,https://example213.edu.in
Kolkata BSc College 214,BSc,Kolkata,26482,Private,77,https://example214.edu.in
Hyderabad BSc College 215,BSc,Hyderabad,117577,Government,73,https://example215.edu.in
Hyderabad BCA College 216,BCA,Hyderabad,62321,Government,95,https://example216.edu.in
Hyderabad BBA College 217,BBA,Hyderabad,321295,Government,88,https://example217.edu.in
Hyderabad BSc College 218,BSc,Hyderabad,320862,Government,65,https://example218.edu.in
Lucknow BCA College 219,BCA,Lucknow,264427,Government,81,https://example219.edu.in
Noida BBA College 220,BBA,Noida,39470,Government,62,https://example220.edu.in
Bangalore BBA College 221,BBA,Bangalore,173602,Private,89,https://example221.edu.in
Noida BBA College 222,BBA,Noida,232165,Private,72,https://example222.edu.in
Chennai BSc College 223,BSc,Chennai,161750,Government,74,https://example223.edu.in
Bangalore BBA College 224,BBA,Bangalore,70732,Private,93,https://example224.edu.in
Hyderabad BA College 225,BA,Hyderabad,97835,Government,70,https://example225.edu.in
Delhi BSc College 226,BSc,Delhi,236544,Private,62,https://example226.edu.in
Hyderabad BSc College 227,BSc,Hyderabad,189745,Private,67,https://example227.edu.in
Pune B.Tech College 228,B.Tech,Pune,235232,Private,66,https://example228.edu.in
Chennai B.Tech College 229,B.Tech,Chennai,344356,Government,86,https://example229.edu.in
Jaipur BBA College 230,BBA,Jaipur,108191,Private,84,https://example230.edu.in
Hyderabad BBA College 231,BBA,Hyderabad,122433,Government,87,https://example231.edu.in
Kolkata BA College 232,BA,Kolkata,145228,Private,83,https://example232.edu.in
Delhi B.Tech College 233,B.Tech,Delhi,68037,Private,80,https://example233.edu.in
Pune BCA College 234,BCA,Pune,262773,Government,68,https://example234.edu.in
Jaipur BBA College 235,BBA,Jaipur,121586,Private,69,https://example235.edu.in
Mumbai BA College 236,BA,Mumbai,35917,Private,92,https://example236.edu.in
Hyderabad BCA College 237,BCA,Hyderabad,68024,Private,95,https://example237.edu.in
Hyderabad BBA College 238,BBA,Hyderabad,262545,Private,86,https://example238.edu.in
Bangalore BSc College 239,BSc,Bangalore,198735,Government,77,https://example239.edu.in
Chennai BSc College 240,BSc,Chennai,161196,Government,91,https://example240.edu.in
Noida BBA College 241,BBA,Noida,21810,Government,95,https://example241.edu.in
Kolkata BA College 242,BA,Kolkata,65999,Government,60,https://example242.edu.in
Pune BBA College 243,BBA,Pune,290411,Government,85,https://example243.edu.in
Pune BCA College 244,BCA,Pune,49829,Private,83,https://example244.edu.in
Delhi BCA College 245,BCA,Delhi,90853,Private,93,https://example245.edu.in
Mumbai BA College 246,BA,Mumbai,257841,Government,74,https://example246.edu.in
Kolkata BBA College 247,BBA,Kolkata,241127,Government,84,https://example247.edu.in
Hyderabad BCA College 248,BCA,Hyderabad,168203,Private,87,https://example248.edu.in
Hyderabad BSc College 249,BSc,Hyderabad,142381,Government,73,https://example249.edu.in
Lucknow BBA College 250,BBA,Lucknow,341716,Government,62,https://example250.edu.in
Chennai BBA College 251,BBA,Chennai,75651,Private,75,https://example251.edu.in
Mumbai BSc College 252,BSc,Mumbai,188702,Government,84,https://example252.edu.in
Kolkata B.Tech College 253,B.Tech,Kolkata,136913,Government,70,https://example253.edu.in
Bangalore BCA College 254,BCA,Bangalore,139849,Government,91,https://example254.edu.in
Jaipur B.Tech College 255,B.Tech,Jaipur,55311,Private,60,https://example255.edu.in
Delhi BBA College 256,BBA,Delhi,24261,Government,78,https://example256.edu.in
Hyderabad BBA College 257,BBA,Hyderabad,117672,Private,61,https://example257.edu.in
Kolkata BBA College 258,BBA,Kolkata,258564,Government,65,https://example258.edu.in
Hyderabad BSc College 259,BSc,Hyderabad,71094,Private,68,https://example259.edu.in
Delhi B.Tech College 260,B.Tech,Delhi,137265,Private,94,https://example260.edu.in
Chennai B.Tech College 261,B.Tech,Chennai,71135,Private,91,https://example261.edu.in
Jaipur BSc College 262,BSc,Jaipur,176337,Private,95,https://example262.edu.in
Noida B.Tech College 263,B.Tech,Noida,240828,Government,62,https://example263.edu.in
Jaipur BA College 264,BA,Jaipur,306368,Government,65,https://example264.edu.in
Kolkata BCA College 265,BCA,Kolkata,266724,Private,83,https://example265.edu.in
Delhi B.Tech College 266,B.Tech,Delhi,310281,Private,72,https://example266.edu.in
Lucknow BA College 267,BA,Lucknow,250899,Private,70,https://example267.edu.in
Kolkata BA College 268,BA,Kolkata,245109,Government,68,https://example268.edu.in
Chennai B.Tech College 269,B.Tech,Chennai,324548,Government,68,https://example269.edu.in
Delhi BBA College 270,BBA,Delhi,40357,Private,65,https://example270.edu.in
Pune B.Tech College 271,B.Tech,Pune,58876,Government,78,https://example271.edu.in
Lucknow BA College 272,BA,Lucknow,340770,Government,62,https://example272.edu.in
Jaipur BBA College 273,BBA,Jaipur,149692,Private,94,https://example273.edu.in
Noida BCA College 274,BCA,Noida,59090,Government,63,https://example274.edu.in
Noida BCA College 275,BCA,Noida,240808,Private,61,https://example275.edu.in
Lucknow BSc College 276,BSc,Lucknow,320131,Private,79,https://example276.edu.in
Lucknow BBA College 277,BBA,Lucknow,281063,Government,93,https://example277.edu.in
Delhi B.Tech College 278,B.Tech,Delhi,87609,Private,77,https://example278.edu.in
Mumbai BA College 279,BA,Mumbai,92289,Private,82,https://example279.edu.in
Lucknow BSc College 280,BSc,Lucknow,250273,Private,90,https://example280.edu.in
Bangalore B.Tech College 281,B.Tech,Bangalore,113192,Private,79,https://example281.edu.in
Kolkata BBA College 282,BBA,Kolkata,257608,Government,63,https://example282.edu.in
Jaipur BCA College 283,BCA,Jaipur,122330,Government,73,https://example283.edu.in
Delhi BCA College 284,BCA,Delhi,138523,Government,79,https://example284.edu.in
Noida BA College 285,BA,Noida,263043,Government,73,https://example285.edu.in
Chennai BSc College 286,BSc,Chennai,231835,Government,69,https://example286.edu.in
Bangalore BBA College 287,BBA,Bangalore,175072,Government,93,https://example287.edu.in
Pune B.Tech College 288,B.Tech,Pune,214640,Private,84,https://example288.edu.in
Mumbai BA College 289,BA,Mumbai,278125,Private,90,https://example289.edu.in
Lucknow B.Tech College 290,B.Tech,Lucknow,203271,Government,81,https://example290.edu.in
Chennai BSc College 291,BSc,Chennai,192991,Private,76,https://example291.edu.in
Pune BCA College 292,BCA,Pune,157448,Private,66,https://example292.edu.in
Lucknow B.Tech College 293,B.Tech,Lucknow,330565,Private,85,https://example293.edu.in
Lucknow BBA College 294,BBA,Lucknow,240717,Government,60,https://example294.edu.in
Bangalore BA College 295,BA,Bangalore,103090,Private,84,https://example295.edu.in
Hyderabad BA College 296,BA,Hyderabad,132176,Private,75,https://example296.edu.in
Kolkata BA College 297,BA,Kolkata,185304,Private,91,https://example297.edu.in
Bangalore BCA College 298,BCA,Bangalore,252767,Private,70,https://example298.edu.in
Chennai B.Tech College 299,B.Tech,Chennai,212056,Government,87,https://example299.edu.in
Jaipur BA College 300,BA,Jaipur,26496,Government,77,https://example300.edu.in
Bangalore BA College 301,BA,Bangalore,162367,Government,89,https://example301.edu.in
Lucknow B.Tech College 302,B.Tech,Lucknow,157574,Private,79,https://example302.edu.in
Delhi BCA College 303,BCA,Delhi,240279,Government,94,https://example303.edu.in
Chennai BBA College 304,BBA,Chennai,207451,Government,82,https://example304.edu.in
Chennai B.Tech College 305,B.Tech,Chennai,248661,Private,91,https://example305.edu.in
Pune BBA College 306,BBA,Pune,212635,Private,67,https://example306.edu.in
Delhi BCA College 307,BCA,Delhi,136819,Private,84,https://example307.edu.in
Delhi BSc College 308,BSc,Delhi,306055,Private,65,https://example308.edu.in
Delhi BSc College 309,BSc,Delhi,194464,Private,79,https://example309.edu.in
Chennai BCA College 310,BCA,Chennai,282661,Private,83,https://example310.edu.in
Noida BA College 311,BA,Noida,123327,Private,77,https://example311.edu.in
Kolkata BA College 312,BA,Kolkata,195986,Private,93,https://example312.edu.in
Jaipur BSc College 313,BSc,Jaipur,147988,Government,89,https://example313.edu.in
Lucknow BA College 314,BA,Lucknow,159779,Government,90,https://example314.edu.in
Noida BSc College 315,BSc,Noida,194644,Government,87,https://example315.edu.in
Jaipur BCA College 316,BCA,Jaipur,230841,Government,95,https://example316.edu.in
Mumbai BA College 317,BA,Mumbai,265252,Government,93,https://example317.edu.in
Noida B.Tech College 318,B.Tech,Noida,227167,Private,95,https://example318.edu.in
Chennai BBA College 319,BBA,Chennai,83272,Private,81,https://example319.edu.in
Bangalore BA College 320,BA,Bangalore,229104,Private,63,https://example320.edu.in
Jaipur BCA College 321,BCA,Jaipur,135104,Private,92,https://example321.edu.in
Lucknow BCA College 322,BCA,Lucknow,207226,Private,89,https://example322.edu.in
Delhi BA College 323,BA,Delhi,263831,Private,74,https://example323.edu.in
Bangalore BA College 324,BA,Bangalore,19621,Private,64,https://example324.edu.in
Kolkata BSc College 325,BSc,Kolkata,308602,Private,74,https://example325.edu.in
Chennai B.Tech College 326,B.Tech,Chennai,194370,Government,92,https://example326.edu.in
Bangalore BBA College 327,BBA,Bangalore,286953,Government,60,https://example327.edu.in
Jaipur B.Tech College 328,B.Tech,Jaipur,89517,Private,85,https://example328.edu.in
Hyderabad BCA College 329,BCA,Hyderabad,179640,Private,74,https://example329.edu.in
Kolkata BCA College 330,BCA,Kolkata,106961,Government,85,https://example330.edu.in
Chennai BSc College 331,BSc,Chennai,237388,Private,93,https://example331.edu.in
Lucknow B.Tech College 332,B.Tech,Lucknow,288995,Private,80,https://example332.edu.in
Pune BCA College 333,BCA,Pune,309454,Private,92,https://example333.edu.in
Mumbai BBA College 334,BBA,Mumbai,307062,Government,92,https://example334.edu.in
Delhi BA College 335,BA,Delhi,84760,Government,83,https://example335.edu.in
Noida B.Tech College 336,B.Tech,Noida,292716,Government,84,https://example336.edu.in
Noida BA College 337,BA,Noida,267652,Private,78,https://example337.edu.in
Pune BA College 338,BA,Pune,26191,Government,69,https://example338.edu.in
Delhi BA College 339,BA,Delhi,292976,Private,90,https://example339.edu.in
Kolkata B.Tech College 340,B.Tech,Kolkata,260262,Private,77,https://example340.edu.in
Lucknow BA College 341,BA,Lucknow,204802,Private,83,https://example341.edu.in
Bangalore BCA College 342,BCA,Bangalore,27811,Private,82,https://example342.edu.in
Hyderabad BCA College 343,BCA,Hyderabad,321990,Private,92,https://example343.edu.in
Jaipur BA College 344,BA,Jaipur,140058,Government,65,https://example344.edu.in
Kolkata BA College 345,BA,Kolkata,179590,Government,70,https://example345.edu.in
Bangalore BSc College 346,BSc,Bangalore,83952,Government,94,https://example346.edu.in
Noida BSc College 347,BSc,Noida,89798,Government,83,https://example347.edu.in
Pune BSc College 348,BSc,Pune,210201,Private,92,https://example348.edu.in
Pune BSc College 349,BSc,Pune,243277,Government,72,https://example349.edu.in
Lucknow BA College 350,BA,Lucknow,174841,Government,94,https://example350.edu.in
Bangalore BSc College 351,BSc,Bangalore,290305,Private,91,https://example351.edu.in
Hyderabad BA College 352,BA,Hyderabad,210651,Private,83,https://example352.edu.in
Kolkata B.Tech College 353,B.Tech,Kolkata,150729,Government,79,https://example353.edu.in
Hyderabad B.Tech College 354,B.Tech,Hyderabad,193462,Private,76,https://example354.edu.in
